"VNRO","PKOKO"
"009591",4
"009607",30
"009616",10
"009618",4
"009619",30
"009624",4
"009635",4
"009637",100
"009638",60
"009649",30
"009660",60
"009677",50
"009679",30
"009688",98
"009691",100
"009704",50
"009712",30
"009713",100
"009738",20
"009743",28
"009787",100
"009794",28
"009803",200
"009805",100
"009810",60
"009811",28
"009837",56
"009841",180
"009843",120
"009860",28
"009877",98
"009905",1.8
"009909",100
"009911",1.8
"009912",50
"009918",100
"009936",98
"009942",1.8
"009945",1.8
"009969",100
"009985",100
"010017",100
"010025",15
"010033",60
"010041",14
"010066",56
"010070",0.6
"010102",1
"010106",60
"010119",30
"010128",100
"010132",100
"010140",100
"010141",30
"010152",100
"010157",14
"010159",1
"010168",100
"010174",30
"010175",100
"010178",100
"010179",24
"010180",10
"010182",60
"010184",1
"010192",56
"010201",30
"010203",1
"010212",100
"010215",30
"010234",1
"010250",100
"010285",30
"010290",50
"010298",28
"010312",30
"010323",50
"010326",1
"010334",100
"010339",28
"010348",10
"010361",98
"010374",30
"010379",100
"010385",100
"010394",100
"010396",30
"010405",30
"010409",30
"010410",100
"010414",98
"010418",30
"010421",100
"010427",30
"010438",30
"010439",56
"010449",30
"010460",98
"010493",98
"010519",10
"010521",100
"010528",100
"010529",5
"010550",30
"010553",100
"010573",5
"010578",100
"010582",15
"010591",4
"010595",100
"010602",20
"010603",98
"010617",6
"010618",30
"010624",10
"010630",20
"010637",120
"010646",20
"010652",50
"010660",100
"010663",10
"010674",30
"010675",30
"010676",50
"010681",20
"010692",60
"010699",14
"010702",28
"010705",28
"010706",9
"010708",25
"010710",56
"010716",56
"010726",30
"010728",40
"010730",100
"010733",10
"010737",7
"010743",30
"010746",12
"010753",10
"010761",10
"010762",30
"010772",100
"010774",24
"010783",30
"010787",24
"010794",100
"010797",5
"010804",56
"010805",30
"010812",1
"010820",100
"010823",1
"010824",90
"010826",56
"010827",30
"010831",100
"010843",98
"010855",56
"010866",14
"010870",98
"010877",28
"010884",100
"010886",56
"010893",1
"010897",10
"010899",56
"010904",1
"010905",98
"010908",28
"010924",1
"010926",120
"010927",14
"010936",30
"010938",28
"010939",14
"010940",98
"010943",1
"010947",100
"010955",28
"010966",98
"010969",30
"010973",30
"010975",120
"010980",100
"010983",120
"010988",28
"010989",100
"010999",98
"011024",15
"011049",120
"011051",4
"011055",30
"011067",100
"011099",30
"011106",250
"011107",28
"011110",100
"011114",120
"011118",28
"011122",120
"011130",120
"011157",100
"011168",100
"011175",56
"011181",5
"011182",30
"011186",56
"011194",7
"011195",56
"011207",28
"011216",98
"011238",30
"011242",30
"011258",300
"011260",7
"011270",100
"011271",28
"011282",98
"011286",20
"011289",100
"011290",100
"011306",30
"011309",100
"011314",100
"011316",10
"011320",30
"011326",7
"011328",10
"011353",5
"011364",20
"011370",30
"011394",30
"011395",15
"011403",20
"011411",30
"011415",100
"011429",100
"011436",42
"011443",100
"011452",100
"011467",100
"011475",100
"011486",5
"011489",30
"011490",98
"011501",28
"011503",20
"011515",20
"011516",100
"011518",100
"011519",100
"011521",2
"011523",98
"011526",28
"011528",100
"011547",28
"011548",100
"011552",100
"011555",30
"011560",100
"011568",98
"011593",60
"011623",100
"011635",100
"011642",126
"011667",98
"011678",98
"011688",180
"011690",168
"011738",30
"011755",100
"011759",10
"011764",5
"011767",30
"011783",100
"011808",50
"011809",100
"011810",60
"011814",100
"011819",100
"011825",10
"011830",30
"011836",100
"011861",98
"011869",30
"011885",60
"011897",30
"011908",10
"011915",98
"011917",8
"011932",30
"011938",98
"011940",4
"011955",28
"011957",30
"011960",98
"011967",28
"011978",98
"011986",28
"011996",126
"011997",98
"011998",28
"012010",63
"012016",10
"012017",28
"012022",28
"012024",7
"012029",30
"012034",6
"012035",1
"012040",100
"012050",4
"012051",7
"012104",10
"012109",100
"012112",10
"012113",7
"012123",30
"012131",100
"012179",20
"012194",12
"012205",10
"012209",90
"012223",30
"012229",30
"012237",100
"012240",30
"012243",30
"012267",10
"012269",12
"012273",4
"012278",7
"012280",60
"012281",28
"012287",30
"012290",4
"012310",30
"012315",7
"012320",60
"012322",98
"012326",30
"012337",1
"012342",30
"012347",28
"012353",100
"012359",100
"012362",28
"012375",100
"012390",14
"012410",56
"012417",100
"012428",30
"012439",100
"012458",30
"012461",24
"012466",100
"012468",8
"012469",100
"012474",100
"012480",30
"012488",60
"012504",24
"012508",24
"012526",1
"012534",1
"012555",30
"012558",14
"012564",14
"012577",24
"012580",20
"012658",1
"012667",120
"012674",20
"012677",28
"012681",30
"012687",30
"012698",100
"012706",30
"012709",36
"012711",28
"012716",7
"012720",100
"012747",50
"012750",30
"012761",100
"012764",100
"012770",0
"012772",30
"012781",50
"012786",100
"012799",7
"012802",28
"012809",28
"012811",98
"012815",25
"012816",12
"012820",98
"012822",98
"012823",100
"012831",100
"012838",4
"012852",8
"012860",12
"012864",20
"012869",60
"012889",10
"012894",28
"012898",250
"012906",20
"012914",50
"012921",9
"012922",100
"012927",98
"012949",28
"012966",100
"012981",100
"012982",98
"012988",100
"012992",30
"012996",28
"013003",30
"013014",100
"013026",5
"013029",30
"013038",98
"013052",50
"013059",5
"013060",30
"013078",100
"013089",7
"013094",10
"013099",10
"013101",3
"013107",18
"013110",20
"013128",50
"013141",30
"013152",100
"013160",10
"013169",30
"013171",20
"013172",1
"013175",100
"013177",5
"013191",4
"013194",20
"013214",1
"013219",5
"013236",100
"013240",7
"013250",30
"013258",100
"013262",28
"013282",56
"013284",28
"013292",100
"013293",28
"013296",28
"013321",7
"013330",14
"013334",20
"013339",100
"013343",28
"013350",7
"013353",98
"013356",100
"013361",28
"013366",50
"013367",6
"013368",100
"013372",6
"013378",4
"013386",28
"013388",15
"013390",30
"013391",8
"013397",15
"013399",28
"013401",100
"013405",15
"013409",10
"013410",15
"013412",30
"013416",15
"013419",15
"013420",100
"013421",15
"013423",100
"013427",15
"013430",10
"013434",28
"013449",28
"013458",30
"013465",10
"013466",50
"013467",1
"013479",98
"013485",98
"013487",15
"013495",7
"013496",100
"013498",15
"013504",28
"013508",98
"013509",15
"013510",12
"013515",10
"013520",10
"013521",96
"013532",15
"013534",98
"013537",10
"013540",100
"013544",2
"013557",100
"013565",30
"013566",28
"013573",28
"013581",300
"013595",28
"013596",90
"013597",2
"013608",6
"013615",100
"013619",50
"013626",98
"013648",28
"013674",30
"013680",4
"013681",98
"013685",100
"013706",10
"013718",5
"013722",100
"013727",12
"013730",100
"013745",98
"013756",28
"013767",98
"013778",1
"013783",1
"013797",98
"013886",100
"013891",24
"013895",100
"013903",12
"013921",28
"013923",7
"013925",100
"013934",30
"013935",98
"013961",100
"013964",60
"013971",60
"013994",98
"013997",28
"014004",30
"014015",30
"014021",60
"014025",28
"014027",24
"014040",10
"014060",98
"014068",28
"014081",300
"014092",98
"014094",30
"014123",20
"014128",100
"014139",30
"014148",100
"014154",100
"014159",30
"014170",100
"014181",30
"014192",100
"014216",30
"014220",98
"014232",30
"014242",28
"014243",3
"014252",100
"014253",98
"014257",3
"014265",3
"014267",14
"014271",30
"014274",56
"014276",30
"014287",30
"014290",4
"014292",100
"014297",30
"014298",3
"014309",30
"014320",28
"014323",3
"014324",100
"014341",30
"014345",3
"014364",30
"014365",30
"014375",100
"014378",50
"014390",14
"014391",14
"014399",100
"014401",28
"014422",50
"014427",28
"014439",5
"014444",50
"014449",28
"014452",50
"014453",1
"014463",100
"014477",5
"014480",100
"014510",30
"014514",100
"014525",1
"014528",14
"014532",12
"014543",1
"014571",250
"014583",60
"014589",500
"014593",1.5
"014597",100
"014609",10
"014618",10
"014619",1
"014642",28
"014677",4
"014680",30
"014688",30
"014691",100
"014696",100
"014702",28
"014705",30
"014713",98
"014721",100
"014725",98
"014727",7
"014735",30
"014736",28
"014746",30
"014747",98
"014748",100
"014749",50
"014754",28
"014760",1
"014775",28
"014785",98
"014786",98
"014791",100
"014795",100
"014796",28
"014797",28
"014803",2
"014852",20
"014853",60
"014859",60
"014867",15
"014887",200
"014889",60
"014893",20
"014894",20
"014905",56
"014910",30
"014917",60
"014918",100
"014924",28
"014935",56
"014940",100
"014949",14
"014962",100
"014966",100
"014973",28
"014978",28
"014984",98
"014985",50
"014993",50
"015000",98
"015008",105
"015009",4
"015015",10
"015018",98
"015037",90
"015042",100
"015044",56
"015047",100
"015057",200
"015076",4
"015084",30
"015087",4
"015089",84
"015095",100
"015116",28
"015135",10
"015141",30
"015144",28
"015152",100
"015155",98
"015170",5
"015180",30
"015209",98
"015212",28
"015214",100
"015222",105
"015248",100
"015259",100
"015264",20
"015278",24
"015281",100
"015301",270
"015322",7
"015342",100
"015347",20
"015349",30
"015399",100
"015406",28
"015417",1
"015418",4
"015428",4
"015430",7
"015433",98
"015435",28
"015439",12
"015440",12
"015445",2000
"015447",7
"015458",28
"015461",100
"015477",30
"015478",4
"015488",30
"015499",100
"015506",7
"015510",30
"015515",10
"015517",28
"015521",100
"015532",1
"015539",7
"015545",60
"015546",98
"015550",28
"015561",1
"015575",105
"015598",1
"015605",30
"015623",1
"015627",200
"015628",1
"015638",5
"015652",100
"015655",30
"015656",50
"015663",100
"015693",10
"015700",100
"015701",14
"015707",30
"015708",7
"015718",100
"015719",100
"015722",100
"015730",100
"015734",60
"015737",30
"015742",4
"015744",100
"015754",30
"015758",56
"015759",28
"015762",60
"015765",100
"015769",100
"015772",50
"015773",60
"015795",10
"015805",3
"015806",10
"015816",6
"015821",180
"015824",20
"015827",9
"015835",60
"015846",100
"015857",360
"015862",98
"015864",28
"015886",180
"015918",7
"015925",5
"015938",50
"015939",6
"015941",5
"015942",10
"015950",18
"015955",98
"015958",5
"015985",90
"015993",10
"015995",2
"016003",30
"016022",60
"016031",100
"016046",10
"016059",14
"016060",10
"016063",60
"016076",2
"016102",10
"016106",28
"016111",2
"016122",98
"016129",2
"016149",2
"016150",7
"016162",5
"016163",4
"016172",1
"016178",112
"016192",98
"016193",6
"016194",2
"016195",26
"016196",5
"016197",28
"016199",6
"016205",28
"016207",98
"016217",2
"016220",56
"016221",84
"016222",8
"016227",28
"016229",2
"016239",112
"016242",98
"016248",98
"016255",50
"016259",28
"016277",84
"016285",14
"016286",30
"016294",56
"016297",100
"016299",30
"016308",28
"016311",30
"016315",56
"016318",14
"016319",28
"016323",56
"016336",98
"016375",100
"016380",98
"016382",70
"016389",1
"016395",56
"016400",98
"016402",100
"016428",100
"016462",126
"016473",10
"016484",126
"016493",100
"016523",126
"016543",10
"016554",100
"016556",60
"016565",56
"016568",20
"016576",3
"016601",28
"016606",28
"016612",98
"016618",28
"016625",30
"016636",100
"016640",4
"016642",98
"016650",100
"016661",10
"016662",14
"016664",30
"016665",56
"016667",14
"016679",28
"016686",3
"016690",28
"016695",3
"016702",30
"016724",100
"016728",1
"016753",100
"016763",100
"016791",28
"016797",10
"016802",28
"016811",30
"016818",30
"016826",100
"016837",100
"016842",98
"016868",28
"016874",10
"016890",28
"016892",1
"016896",4
"016906",10
"016910",28
"016915",20
"016919",100
"016927",1
"016928",30
"016930",1
"016937",1
"016938",1
"016939",100
"016941",30
"016950",30
"016953",28
"016956",100
"016973",30
"017031",6
"017038",28
"017072",90
"017135",100
"017139",14
"017140",20
"017143",98
"017151",60
"017159",14
"017160",98
"017162",100
"017178",14
"017195",1
"017196",30
"017201",30
"017208",4
"017213",20
"017218",100
"017234",4
"017238",28
"017240",98
"017248",100
"017270",30
"017277",14
"017301",20
"017304",60
"017321",1
"017331",0
"017345",112
"017354",30
"017356",100
"017363",7
"017372",30
"017374",112
"017383",105
"017392",30
"017405",105
"017409",50
